날짜,QQQ 매수량,QQQ 매도량,QQQ 잔량,QQQ 종가,QQQ 매수 평균 가격,QQQ 종가치,TQQQ 매수량,TQQQ 매도량,TQQQ 잔량,TQQQ 종가,TQQQ 매수 평균 가격,TQQQ 종가치,예수금,총 평가액
2023-08-23,0,0,28,369.1099853515625,317.91433432616435,10335.07958984375,0,0,2852,39.779998779296875,38.29478880076331,113452.55651855469,13.989612579345703,123801.62572097778
2023-08-24,0,0,20,361.2200012207031,317.91433432616435,7224.4000244140625,0,0,2930,37.15999984741211,38.264579402005154,108878.79955291748,5.269634246826172,116108.46921157837
2023-08-25,0,0,14,364.0199890136719,317.91433432616435,5096.279846191406,0,0,2987,38.040000915527344,38.26029383999336,113625.48273468018,21.109516143798828,118742.87209701538
2023-08-28,0,0,14,366.760009765625,317.91433432616435,5134.64013671875,0,0,2987,38.88999938964844,38.26029383999336,116164.42817687988,21.109516143798828,121320.17782974243
2023-08-29,0,0,14,374.7699890136719,317.91433432616435,5246.779846191406,0,0,2987,41.369998931884766,38.26029383999336,123572.1868095398,21.109516143798828,128840.076171875
2023-08-30,0,0,14,376.8599853515625,317.91433432616435,5276.039794921875,0,0,2987,42.060001373291016,38.26029383999336,125633.22410202026,21.109516143798828,130930.37341308594
2023-08-31,1,0,14,377.989990234375,317.91433432616435,5291.85986328125,0,0,2987,42.439998626708984,38.26029383999336,126768.27589797974,21.109516143798828,132081.24527740479
2023-09-01,0,0,14,377.5899963378906,317.91433432616435,5286.259948730469,0,0,2987,42.290000915527344,38.26029383999336,126320.23273468018,21.109516143798828,131627.60219955444
2023-09-05,0,0,14,378.07000732421875,317.91433432616435,5292.9801025390625,0,0,2987,42.400001525878906,38.26029383999336,126648.8045578003,21.109516143798828,131962.89417648315
2023-09-06,0,0,14,374.739990234375,317.91433432616435,5246.35986328125,0,0,2987,41.279998779296875,38.26029383999336,123303.35635375977,21.109516143798828,128570.82573318481
2023-09-07,0,0,14,372.05999755859375,317.91433432616435,5208.8399658203125,0,0,2987,40.380001068115234,38.26029383999336,120615.0631904602,21.109516143798828,125845.01267242432
2023-09-08,0,0,14,372.5799865722656,317.91433432616435,5216.119812011719,0,0,2987,40.5,38.26029383999336,120973.5,21.109516143798828,126210.72932815552
2023-09-11,0,0,14,376.9700012207031,317.91433432616435,5277.580017089844,0,0,2987,41.880001068115234,38.26029383999336,125095.5631904602,21.109516143798828,130394.25272369385
2023-09-12,0,0,14,372.7900085449219,317.91433432616435,5219.060119628906,0,0,2987,40.540000915527344,38.26029383999336,121092.98273468018,21.109516143798828,126333.15237045288
2023-09-13,0,0,14,374.2099914550781,317.91433432616435,5238.939880371094,0,0,2987,40.939998626708984,38.26029383999336,122287.77589797974,21.109516143798828,127547.82529449463
2023-09-14,0,0,14,377.2699890136719,317.91433432616435,5281.779846191406,0,0,2987,41.900001525878906,38.26029383999336,125155.3045578003,21.109516143798828,130458.1939201355
2023-09-15,0,0,14,370.80999755859375,317.91433432616435,5191.3399658203125,0,0,2987,39.75,38.26029383999336,118733.25,21.109516143798828,123945.69948196411
2023-09-18,0,0,14,370.6600036621094,317.91433432616435,5189.240051269531,0,0,2987,39.84000015258789,38.26029383999336,119002.08045578003,21.109516143798828,124212.43002319336
2023-09-19,0,0,14,369.8699951171875,317.91433432616435,5178.179931640625,0,0,2987,39.599998474121094,38.26029383999336,118285.1954421997,21.109516143798828,123484.48488998413
2023-09-20,0,0,10,364.5400085449219,317.91433432616435,3645.4000854492188,0,0,3026,37.75,38.2537170191871,114231.5,7.019550323486328,117883.9196357727
2023-09-21,0,0,7,357.8599853515625,317.91433432616435,2505.0198974609375,0,0,3056,35.599998474121094,38.227666117239465,108793.59533691406,12.599552154541016,111311.21478652954
2023-09-22,0,0,5,357.9100036621094,317.91433432616435,1789.5500183105469,0,0,3076,35.630001068115234,38.21077622745322,109597.88328552246,15.819538116455078,111403.25284194946
2023-09-25,0,0,4,359.6099853515625,317.91433432616435,1438.43994140625,0,0,3086,36.099998474121094,38.20393637731281,111404.5952911377,14.42953872680664,112857.46477127075
2023-09-26,0,0,3,354.2099914550781,317.91433432616435,1062.6299743652344,0,0,3096,34.4900016784668,38.191940464202844,106781.0451965332,23.739513397216797,107867.41468429565
2023-09-27,0,0,3,355.0400085449219,317.91433432616435,1065.1200256347656,0,0,3096,34.70000076293945,38.191940464202844,107431.20236206055,23.739513397216797,108520.06190109253
2023-09-28,0,0,3,358.010009765625,317.91433432616435,1074.030029296875,0,0,3096,35.540000915527344,38.191940464202844,110031.84283447266,23.739513397216797,111129.61237716675
2023-09-29,0,0,3,358.2699890136719,317.91433432616435,1074.8099670410156,0,0,3096,35.619998931884766,38.191940464202844,110279.51669311523,23.739513397216797,111378.06617355347
2023-10-02,0,0,3,361.260009765625,317.91433432616435,1083.780029296875,0,0,3096,36.470001220703125,38.191940464202844,112911.12377929688,23.739513397216797,114018.64332199097
2023-10-03,0,0,3,354.9200134277344,317.91433432616435,1064.7600402832031,0,0,3096,34.540000915527344,38.191940464202844,106935.84283447266,23.739513397216797,108024.34238815308
2023-10-04,0,0,3,359.75,317.91433432616435,1079.25,0,0,3096,35.939998626708984,38.191940464202844,111270.23574829102,23.739513397216797,112373.22526168823
2023-10-05,0,0,3,358.69000244140625,317.91433432616435,1076.0700073242188,0,0,3096,35.560001373291016,38.191940464202844,110093.76425170898,23.739513397216797,111193.57377243042
2023-10-06,0,0,3,364.70001220703125,317.91433432616435,1094.1000366210938,0,0,3096,37.349998474121094,38.191940464202844,115635.5952758789,23.739513397216797,116753.43482589722
